***MESSAGES***,,,,,,,,,,,,,,,,,,,,,,,,
id,title,caption,type,channel_id,created_at,updated_at,content_file_name,content_content_type,content_file_size,content_updated_at,seq_no,next_send_time,primary,reminder_message_text,reminder_delay,repeat_reminder_message_text,repeat_reminder_delay,number_of_repeat_reminders,options,deleted_at,schedule,active,requires_response,recurring_schedule
1794,33439,Humility,Know your strengths: You prefer that your accomplishments speak for themselves rather than being in the spotlight. How has your humbleness worked out this week?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1795,33439,Intelligence,Know your strengths: You have a way of being able to read a situation and put people at ease. Consider how your awareness has helped another person this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1796,33439,Prudence,Know your strengths: You are cautious and careful in everything you choose to do. Consider how the choices you have made worked out for you this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1797,33439,Curiosity,Know your strengths: You love to explore and discover new things. How has your love for adventures played out this week?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1798,33439,Honesty,Know your strengths: Not only do you speak the truth but you live your life in a genuine way. Consider how your authenticity has played out this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1799,33439,Leadership,Know your strengths: You excel at organizing group activities. Consider how your leadership has made something get done this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1800,33439,Love,"Know your strengths: You value close relationships with others, especially those you can count on. How have your friends and loved ones supported you this week?",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1801,33439,Forgiveness,Know your strengths: Your guiding principle is mercy and not revenge. Consider how compassion has played out for you this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1802,33439,Gratitude,Know your strengths: You never take anyone or anything for granted. Consider how your gratitude has played out for you this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1803,33439,Self-Regulation,"Know your strengths: You are the master of your emotions and behaviors, not the other way around. Consider how self-regulation has worked for you this week.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1804,33440,Perseverance,You always finish what you start. What will you gain by quitting smoking?  Make a list.  How will it feel to accomplish these goals?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1805,33440,Teamwork,Consider how your quitting smoking contributes to making a better world.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1806,33440,Hope,Difficult situations will arise once you quit. Think about what situations will be hard for you. Write them down and create plans for how you can handle them.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1807,33440,Humor,Make at least one person smile each day - now and after you quit!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1808,33440,Kindness,Picture the people in life that are important to you. Quitting smoking is an act of kindness not only to yourself but to others.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1809,33440,Spirituality,Difficult situations can arise while quitting smoking. Your strong sense of spirituality can serve as an important source of comfort.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1810,33440,Zest,Find new activities where you can have fun and be engaged without smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1811,33440,Appreciation,Certain situations can be stressful when you quit smoking. Make a list of unfamiliar places you can visit that can remind you of all of the beauty in life.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1812,33440,Bravery,"If you are doubting your ability to quit smoking, remind yourself of other challenges you have faced successfully.  Why should quitting smoking be any different?",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1813,33440,Creativity,"Plan at least 2 activities during the first week of quitting that allow you to be creative like painting, gardening, writing, or another hobby.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1814,33440,Fairness,Take time to think about how quitting smoking is good not just for you and your health but also for others around you and for those who care most for you.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1815,33440,Judgment,"If you are wavering on your ability to quit smoking, consider all of the evidence that proves you can do it!",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1816,33440,Perspective,"If you are wavering on your decision to quit smoking, think of the wisest person you know. Write down what they would say to you to stay committed.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1817,33440,Learning,Attend a lecture at a local college or school about health-related risks of smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1818,33440,Humility,Acknowledge that quitting is difficult and donâ€™t let yourself believe that this is something you can do with willpower alone. Reach out to others for support!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1819,33440,Intelligence,Some situations may cause stress when you first quit smoking. Make a list of what you can do in these different situations to mitigate the stress for yourself and others.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1820,33440,Prudence,You never say or do things you later regret. There is no reason to think your choice to quit smoking is different. You know youâ€™ve made the right decision!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1821,33440,Curiosity,"Talk to someone who has successfully quit smoking, and learn everything you can about what worked for him or her.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1822,33440,Honesty,"Youâ€™ve chosen to quit smoking. Now ask yourself how this aligns with your values.  Then, remind yourself that being a non-smoker is consistent with your values.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1823,33440,Leadership,Are there people in your life who may have a difficult time with your decision to quit? Think of ways to make them understand and feel part of your success.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1824,33440,Love,Remind yourself of the friends and loved ones who are happy about your decision to quit smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1825,33440,Forgiveness,"If you find yourself getting irritated with others who comment on your decision to quit, remember that they are trying to be helpful. Let go of your irritation.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1826,33440,Gratitude,Make a list of what you will be grateful for as a non-smoker and remind yourself of these during difficult times when itâ€™s hard to stay on track.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1827,33440,Self-Regulation,"You are an incredibly disciplined person and are in control of your thoughts, feelings, and actions. Quitting smoking is no different. You can do this!",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1828,33441,Perseverance,You are someone who achieves what you set out to do. There is no reason to think quitting smoking will be different. You can do this!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1829,33441,Teamwork,"Work with a buddy who also wants to quit: â€œWe are a team, and if you help me, I can help youâ€ù",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1830,33441,Hope,Picture a future for yourself in which you are a non-smoker.  What will this future look like?  How will you feel?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1831,33441,Humor,Use your humor to get other people to help you in your quit attempt.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1832,33441,Kindness,Be kind to yourself as you quit smoking.  Donâ€™t forget to reward yourself for this great accomplishment!  Use the money youâ€™ve saved to treat yourself.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1833,33441,Spirituality,"Remind yourself of your sense of purpose in life, and how becoming a non-smoker is compatible with this sense of purpose.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1834,33441,Zest,Make quitting smoking part of a bigger plan to be healthier and happier.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1835,33441,Appreciation,"During your first week of quitting plan to do at least 2 activities that allow you to notice and appreciate beauty, like going to the park, a sporting event, or a concert.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1836,33441,Bravery,Quitting smoking can be a challenge. Remind yourself that you are someone who can do difficult things.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1837,33441,Creativity,"Creativity comes naturally to you, and you donâ€™t do something the conventional way when there is a better way. Use this creativity in your quit attempt!",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1838,33441,Fairness,"Instead of giving yourself reasons why you canâ€™t quit smoking, think about all of the reasons that you deserve a chance just as you would for other people.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1839,33441,Judgment,"Just as you do with everything else, treat quitting smoking with an open mind.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1840,33441,Perspective,Others value you and your perspective on life. Take time to think about how quitting smoking can be inspiring to others.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1841,33441,Learning,Read about all the benefits of quitting smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1842,33441,Humility,Realize when you will be challenged to smoke and make sure you have taken steps to make you more likely to succeed.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1843,33441,Intelligence,Take notice of how others respond to your decision to quit smoking.  Who is happy for you? Who might not like the change? How can you put unsupportive people at ease?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1844,33441,Prudence,"Your decision to quit smoking may be challenged, but you have carefully considered all of your options in making this decision. You can do this!",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1845,33441,Curiosity,Learn as much as you can about the benefits of quitting smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1846,33441,Honesty,Be honest with others. Tell people in your life that you have decided to quit smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1847,33441,Leadership,"Organize a social get-together for your friends that is incompatible with smoking (e.g., a smoke-free restaurant; a hike).",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1848,33441,Love,"Talk to your friends and loved ones about how much you care about them, and how much their support means to you as you become a non-smoker.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1849,33441,Forgiveness,Donâ€™t dwell on the past. You may have failed in past attempts to quit. Forgive yourself and realize that this is a new chance to protect your health.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1850,33441,Gratitude,"Express gratitude to someone you cherish, and then ask for support in your quit attempt. Gaining support may be easier once youâ€™ve expressed your gratitude.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1851,33441,Self-Regulation,"It can be helpful to find a replacement when you quit smoking. Start a new hobby, such as an exercise program, and stick with it every day for a week.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1852,33442,Perseverance,You always finish what you start. What will you gain by quitting smoking?  Make a list.  How will it feel to accomplish these goals?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1853,33442,Teamwork,Consider how your quitting smoking contributes to making a better world.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1854,33442,Hope,Difficult situations will arise once you quit. Think about what situations will be hard for you. Write them down and create plans for how you can handle them.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1855,33442,Humor,Make at least one person smile each day - now and after you quit!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1856,33442,Kindness,Picture the people in life that are important to you. Quitting smoking is an act of kindness not only to yourself but to others.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1857,33442,Spirituality,Difficult situations can arise while quitting smoking. Your strong sense of spirituality can serve as an important source of comfort.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1858,33442,Zest,Find new activities where you can have fun and be engaged without smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1859,33442,Appreciation,Certain situations can be stressful when you quit smoking. Make a list of unfamiliar places you can visit that can remind you of all of the beauty in life.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1860,33442,Bravery,"If you are doubting your ability to quit smoking, remind yourself of other challenges you have faced successfully.  Why should quitting smoking be any different?",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1861,33442,Creativity,"Plan at least 2 activities during the first week of quitting that allow you to be creative like painting, gardening, writing, or another hobby.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1862,33442,Fairness,Take time to think about how quitting smoking is good not just for you and your health but also for others around you and for those who care most for you.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1863,33442,Judgment,"If you are wavering on your ability to quit smoking, consider all of the evidence that proves you can do it!",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1864,33442,Perspective,"If you are wavering on your decision to quit smoking, think of the wisest person you know. Write down what they would say to you to stay committed.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1865,33442,Learning,Attend a lecture at a local college or school about health-related risks of smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1866,33442,Humility,Acknowledge that quitting is difficult and donâ€™t let yourself believe that this is something you can do with willpower alone. Reach out to others for support!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1867,33442,Intelligence,Some situations may cause stress when you first quit smoking. Make a list of what you can do in these different situations to mitigate the stress for yourself and others.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1868,33442,Prudence,You never say or do things you later regret. There is no reason to think your choice to quit smoking is different. You know youâ€™ve made the right decision!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1869,33442,Curiosity,"Talk to someone who has successfully quit smoking, and learn everything you can about what worked for him or her.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1870,33442,Honesty,"Youâ€™ve chosen to quit smoking. Now ask yourself how this aligns with your values.  Then, remind yourself that being a non-smoker is consistent with your values.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1871,33442,Leadership,Are there people in your life who may have a difficult time with your decision to quit? Think of ways to make them understand and feel part of your success.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1872,33442,Love,Remind yourself of the friends and loved ones who are happy about your decision to quit smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1873,33442,Forgiveness,"If you find yourself getting irritated with others who comment on your decision to quit, remember that they are trying to be helpful. Let go of your irritation.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1874,33442,Gratitude,Make a list of what you will be grateful for as a non-smoker and remind yourself of these during difficult times when itâ€™s hard to stay on track.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1875,33442,Self-Regulation,"You are an incredibly disciplined person and are in control of your thoughts, feelings, and actions. Quitting smoking is no different. You can do this!",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1876,33443,Hope,Believe in yourself and your ability to remain a non-smoker.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1877,33443,Gratitude,Notice and thank the people in your life who are helpful in your quit attempt.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1878,33443,Humor,Look in the mirror and laugh at yourself when you have an urge to smoke.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1879,33443,Perseverance,"You work hard to finish what you start, no matter what.  Remind yourself of this if you feel your commitment to remaining a non-smoker waiver.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1880,33443,Teamwork,"Use the money you save through quitting to help others (e.g., donate half of the money you would have spent on cigarettes to a charity).",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1881,33443,Kindness,"Do something kind for someone in your life who is helping you to remain a non-smoker. Treat them to a nice meal, buy them flowers, or write them a thoughtful card.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1882,33443,Spirituality,"When tempted to smoke, ask a higher power for help.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1883,33443,Zest,"Instead of smoking, go for a walk or do a physically active chore like gardening.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1884,33443,Appreciation,Appreciating beauty is something you do naturally. Taking time to appreciate beauty around you each day can lift your mood and take your mind off smoking.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1885,33443,Bravery,"What is the strongest urge to smoke you have ever had?  Tell yourself that if you can get through that, you can get through any urge to smoke.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1886,33443,Creativity,Try to think of an unconventional way to manage your urges to smoke.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1887,33443,Fairness,Treat quitting smoking with an open mind.  Learn to see and accept both the challenges and the benefits of quitting.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1888,33443,Judgment,"Use critical thinking to evaluate why itâ€™s so important to quit smoking.  Write these reasons down, and reflect on whether you feel your commitment wavering.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1889,33443,Perspective,"Think about the wisdom of quitting smoking: Why is this a wise decision?  Write these reasons down, and reflect on whether you feel your commitment wavering.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1890,33443,Learning,Share what you learn about the benefits of quitting smoking with someone else. This will allow you to savor what you have learned.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1891,33443,Humility,"Even after you have quit for a few weeks, remind yourself that slips can still happen.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1892,33443,Intelligence,"Be aware of your feelings, both good and bad, while quitting.  Share those feelings with someone you trust rather than trying to change them by smoking.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1893,33443,Prudence,"Before you smoke a cigarette, ask yourself: â€œIs this worth disrupting all the progress Iâ€™ve made?â€ù",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1894,33443,Curiosity,Try to discover something new about yourself and your abilities as you become a non-smoker.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1895,33443,Honesty,Be honest with yourself about your efforts to quit smoking.  Get rid of all â€œemergencyâ€ù or â€œhiddenâ€ù cigarettes.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1896,33443,Leadership,"If you feel an urge to reach for a cigarette, plan a fun group activity to distract yourself. The urge will subside!",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1897,33443,Love,Congratulate and love yourself and your ability to quit smoking each day.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1898,33443,Forgiveness,Forgive yourself if you â€œslipâ€ù so that you can move on with a fresh start.  Remember: The most important thing you can do going forward is not light up again!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1899,33443,Self-Regulation,"If you get tempted to smoke a cigarette, ask yourself: â€œIs this worth disrupting all the progress Iâ€™ve made?â€ù",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1900,33444,Perseverance,Donâ€™t forget to take satisfaction in accomplishing your goal to be a non-smoker. Take stock of the amount of time youâ€™ve been a non-smoker and celebrate.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1901,33444,Teamwork,You have worked hard to quit smoking. Who can you enlist to be part of your team to remain a non-smoker?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1902,33444,Hope,Reflect on what you hope to gain now that you are a non-smoker.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1903,33444,Humor,Use humor to try to get friends who smoke not to smoke around you.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1904,33444,Kindness,Performing an anonymous favor for someone to distract you from a craving can help the craving pass more quickly. Use your kindness instead of reaching for a cigarette!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1905,33444,Spirituality,Engage in meditation exercises to help reduce your stress and maintain your sense of purpose and spirituality. This will help control your urges to smoke.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1906,33444,Zest,Take time to celebrate being a non-smoker at least twice a week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1907,33444,Appreciation,"When you feel an urge to smoke, refocus your attention on something beautiful. Take a trip to a museum or take a long walk and notice the beauty in nature.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1908,33444,Bravery,Text or call a buddy when you have a craving or think about having a cigarette.  Draw on courage to deal with it without giving in. You can do it!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1909,33444,Creativity,Share the creative ways you are managing your quit attempt with friends and family members.  Perhaps the â€œtoolsâ€ù you generate will inspire someone else!,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1910,33444,Fairness,"If you are feeling irritable after quitting, realize that it is not anyoneâ€™s fault and that these feelings will pass.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
